"aar";"yrke_grovgruppe";"yrke_fingruppe";"yrkeskode";"yrke";"yrkesbetegnelse";"isco_versjon";"antall_arbeidssokere"
"2013";"Undervisning";"Annet undervisningspersonale";"5165";"Kjøreskolelærere";"Kjøreskolelærer, Trafikklærer";"ISCO-08";"25"
"2013";"Serviceyrker og annet arbeid";"Annet arbeid";"5169";"Andre personlige tjenesteytere";"Aktivitetsleder, Aktivitetsleder (hotell, butikksenter), Annen personlig tjenesteytelse, Shopper";"ISCO-08";"250"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5211";"Torghandlere mv.";"Torghandler, Torghandler mv.";"ISCO-08";"13"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5212";"Gateselger av mat";"Gateselger av mat";"ISCO-08";"10"
"2013";"Butikk- og salgsarbeid";"Butikkarbeid";"5221";"Innehavere av kiosk/liten butikk";"Butikkinnehaver (liten butikk), Innehaver av kiosk/liten butikk";"ISCO-08";"83"
"2013";"Butikk- og salgsarbeid";"Butikkarbeid";"5222";"Butikkavdelingssjefer";"Bokhandler, Butikkavdelingssjef, Kasseleder (butikk), Områdeansvarlig (butikk)";"ISCO-08";"456"
"2013";"Butikk- og salgsarbeid";"Butikkarbeid";"5223";"Butikkmedarbeidere";"Apotekmedarbeider, Bilselger, Butikk-kasserer, Butikk-konsulent, Butikkmedarbeider, Butikkmedarbeider (bensinstasjon), Butikkmedarbeider (salg av selskapstøy), Deleekspeditør, Ekspeditør, Kassemedarbeider (butikk), Kioskmedarbeider, Kjøkkeninteriørselger, Kundeveileder (butikk), Lærling (butikkfaget), Lærling (fagekspeditør byggevarer), Lærling (reservedelsekspeditør), Møbelselger, Salgsfremmer, Selger (detalj), Sjokoladeselger, Solstudiovert/-vertinne";"ISCO-08";"9788"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5230";"Billettselgere";"Billettselger, Billettør, Kasserer";"ISCO-08";"50"
"2013";"Serviceyrker og annet arbeid";"Yrker innen kunst, sport og kultur";"5241";"Mannekenger og modeller";"Mannekeng, Mannekeng og modell, Modell";"ISCO-08";"10"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5242";"Demonstrasjonsselgere";"Demonstrasjonsselger";"ISCO-08";"25"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5243";"Dørselgere";"Dørselger, Feltselger";"ISCO-08";"37"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5244";"Telefon- og nettselgere";"Abonnementselger, Annonsebehandler, Coach (telefonsalg), Kommunikatør (telefonsalg), Salgsassistent, Salgssjåfør (detalj), Telefon- og nettselger, Telefonselger";"ISCO-08";"326"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5245";"Servicemedarbeidere (bensinstasjon)";"Servicemedarbeider (bensinstasjon), Servicemedarbeider (bensinstasjon, bilforretning)";"ISCO-08";"212"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5246";"Gatekjøkken- og kafémedarbeidere mv.";"Gatekjøkken- og kafémedarbeider mv., Gatekjøkkenmedarbeider, Kafemedarbeider (servering), Kantimedarbeider, Restaurantmedarbeider (hamburgerbar)";"ISCO-08";"232"
"2013";"Butikk- og salgsarbeid";"Annet salgsarbeid";"5249";"Andre salgsmedarbeidere";"Annen salgsmedarbeider, Bilutleier, Kundebehandler (utleievirksomhet)";"ISCO-08";"370"
"2013";"Barne- og ungdomsarbeid";"Barnehage- og skolefritidsassistenter";"5311";"Barnehage- og skolefritidsassistenter mv.";"Assistent (barnepark), Au-pair, Barne- og ungdomsarbeider, Barnehage- og skolefritidsassistent mv., Barnehage- og skolefritidsassistenter mv., Barnehageassistent, Barnepasser, Barnepleier, Fritidsklubbassistent, Lærling (barne- og ungdomsarbeider), Skolefritidsassistent, Støttekontakt";"ISCO-08";"7145"
"2013";"Barne- og ungdomsarbeid";"Skoleassistenter";"5312";"Skoleassistenter";"Elevassistent, Skoleassistent, Undervisningsassistent";"ISCO-08";"504"
"2013";"Helse, pleie og omsorg";"Omsorgs- og pleiearbeidere";"5321";"Helsefagarbeidere";"Aktivitetsleder (omsorgsarbeid), Aktivitør, Avlaster (besøkshjem mv.), Helsefagarbeider, Hjelpepleier, Hjelpepleier (psykisk helsearbeid), Hjelpepleiermedarbeider, Lærling (helsearbeiderfaget), Lærling (omsorgsarbeider), Miljøarbeider (helse- og omsorg), Omsorgsarbeider, Omsorgsarbeider (psykisk helsearbeid)";"ISCO-08";"2373"
"2013";"Helse, pleie og omsorg";"Omsorgs- og pleiearbeidere";"5322";"Hjemmehjelper";"Assistent (hjemmehjelp), Avlaster, Hjemmehjelp, Personlig assistent (syke- og helsevern)";"ISCO-08";"371"
"2013";"Helse, pleie og omsorg";"Omsorgs- og pleiearbeidere";"5329";"Andre pleiemedarbeidere";"Annen pleiemedarbeider, Arbeidstilrettelegger (attføringsbedrift), Assistent (pu), Avdelingshjelp, Lærling (aktivitør), Lærling (ambulansesjåfør), Miljøassistent, Pleieassistent, Pleieassistent (psykisk helsearbeid), Pleier, Portør, Praktikant (syke- og helsevern), Servicearbeider (omsorgsarbeid), Tannlegesekretær";"ISCO-08";"3014"
"2013";"Serviceyrker og annet arbeid";"Yrker innen politi, brannvesen, toll og forsvar";"5411";"Brannkonstabler";"Alarmoperatør, Brannkonstabel, Brannvakt, Røykdykker";"ISCO-08";"90"
"2013";"Serviceyrker og annet arbeid";"Yrker innen politi, brannvesen, toll og forsvar";"5413";"Fengselsbetjenter";"Arrestforvarer, Fengselsaspirant, Fengselsbetjent";"ISCO-08";"63"
"2013";"Serviceyrker og annet arbeid";"Vakthold og vaktmestere";"5414";"Vektere";"Dørvakt, Lærling (vekter), Ordensvakt, Securitas, Sikkerhetsvakt, Vakt, Vaktmann/-kvinne, Vekter, Vekterleder";"ISCO-08";"979"
"2013";"Serviceyrker og annet arbeid";"Vakthold og vaktmestere";"5419";"Andre sikkerhetsarbeidere";"Annen sikkerhetsarbeider, Badebetjent, Badevakt, Fyrbetjent, Parkeringsvakt";"ISCO-08";"143"
